Kod,Benämning
26.120,Tillverkning av kretskort
26.200,Tillverkning av datorer och kringutrustning
26.300,Tillverkning av kommunikationsutrustning
26.400,Tillverkning av hemelektronik
26.510,Tillverkning av instrument och apparater för mätning provning och navigering
26.520,Urtillverkning
26.600,Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning
26.700,Tillverkning av optiska instrument magnetiska och optiska medier samt fotoutrustning
27.110,Tillverkning av elmotorer generatorer och transformatorer
27.120,Tillverkning av eldistributions- och elkontrollapparater
27.200,Batteri- och ackumulatortillverkning
27.310,Tillverkning av optiska fiberkablar
27.320,Tillverkning av andra elektroniska och elektriska ledningar och kablar
27.330,Tillverkning av kabeltillbehör
27.400,Tillverkning av belysningsarmatur
27.510,Tillverkning av elektriska hushållsmaskiner och hushållsapparater
27.520,Tillverkning av icke-elektriska hushållsmaskiner och hushållsapparater
27.900,Tillverkning av annan elapparatur
28.110,Tillverkning av motorer och turbiner utom för luftfartyg och fordon
28.120,Tillverkning av fluidteknisk utrustning
28.130,Tillverkning av andra pumpar och kompressorer
28.140,Tillverkning av andra kranar och ventiler
28.150,Tillverkning av lager kugghjul och andra delar för kraftöverföring
28.210,Tillverkning av ugnar och monterad värmeutrustning för bostadsuppvärmning
28.220,Tillverkning av lyft- och godshanteringsanordningar
28.230,Tillverkning av kontorsmaskiner och kontorsutrustning utom datorer och kringutrustning
28.240,Tillverkning av motordrivna handverktyg
28.250,Tillverkning av luftkonditionering utom för hushåll
28.290,Tillverkning av diverse övriga maskiner för allmänt ändamål
28.300,Tillverkning av jord- och skogsbruksmaskiner
28.410,Tillverkning av maskiner för metallbearbetning och verktygsmaskiner för bearbetning av metall
28.420,Tillverkning av andra verktygsmaskiner
28.910,Tillverkning av maskiner för metallurgi
28.920,Tillverkning av gruv- bergbrytnings- och byggmaskiner
28.930,Tillverkning av maskiner för framställning av livsmedel drycker och tobaksvaror
28.940,Tillverkning av maskiner för produktion av textil- beklädnads- och lädervaror
28.950,Tillverkning av maskiner för produktion av massa papper och papp
28.960,Tillverkning av maskiner för gummi och plast
28.970,Tillverkning av maskiner för additiv tillverkning
28.990,Tillverkning av diverse övriga specialmaskiner
29.101,Tillverkning av personbilar och andra lätta motorfordon
29.102,Tillverkning av lastbilar och andra tunga motorfordon
29.200,Tillverkning av karosserier för motorfordon; tillverkning av släpfordon och påhängsvagnar
29.310,Tillverkning av elektrisk och elektronisk utrustning för motorfordon
29.320,Tillverkning av andra delar och tillbehör till motorfordon
30.110,Byggande av civila fartyg och flytande materiel
30.120,Byggande av fritidsbåtar
30.130,Byggande av militära skepp och fartyg
30.200,Tillverkning av rälsfordon
30.310,Tillverkning av civila luftfartyg rymdfarkoster o.d.
30.320,Tillverkning av militära luftfartyg rymdfarkoster o.d.
30.400,Tillverkning av militära stridsfordon
30.910,Tillverkning av motorcyklar
30.920,Tillverkning av cyklar rullstolar o.d.
30.990,Diverse övrig transportmedelstillverkning
31.001,Tillverkning av kontors- och butiksmöbler
31.002,Tillverkning av kontors- och butiksinredningar
31.003,Tillverkning av köksmöbler
31.004,Tillverkning av köksinredningar
31.009,Tillverkning av andra möbler och madrasser
32.110,Prägling av mynt
32.120,Tillverkning av smycken guld- och silversmedsvaror
32.130,Tillverkning av bijouterier o.d.
32.200,Tillverkning av musikinstrument
32.300,Tillverkning av sportartiklar
32.400,Tillverkning av spel och leksaker
32.501,Tillverkning av medicinska och dentala instrument och tillbehör
32.502,Tillverkning av tandproteser
32.910,Tillverkning av borstbinderiarbeten
32.990,Diverse övrig tillverkning
33.110,Reparation och underhåll av metallvaror
33.120,Reparation och underhåll av maskiner
33.130,Reparation och underhåll av elektronisk och optisk utrustning
33.140,Reparation och underhåll av elapparatur
33.150,Reparation och underhåll av civila fartyg och båtar
33.160,Reparation och underhåll av civila luftfartyg och rymdfarkoster
33.170,Reparation och underhåll av andra civila transportmedel
33.180,Reparation och underhåll av militära stridsfordon skepp båtar luftfartyg och rymdfarkoster
33.190,Reparation och underhåll av annan utrustning
33.200,Installation av industrimaskiner och -utrustning
35.110,Generering av elektricitet från icke-förnybara energikällor
35.120,Generering av elektricitet från förnybara energikällor
35.130,Överföring av elektricitet
35.140,Distribution av elektricitet
35.150,Handel med elektricitet
35.160,Lagring av elektricitet
35.210,Framställning av gas
35.220,Distribution av gasformiga bränslen via rörnät
35.230,Handel med gas via rörnät
35.240,Lagring av gas som en del i nätförsörjningstjänster
35.300,Försörjning av värme och kyla
35.400,Mäklare och agenter för el och naturgas
36.000,Vattenförsörjning
37.000,Avloppsrening
38.110,Insamling av icke-farligt avfall
38.120,Insamling av farligt avfall
38.211,Demontering av uttjänta fordon
38.212,Demontering av elektrisk och elektronisk utrustning
38.213,Demontering av övrig kasserad utrustning
38.214,Återvinning av källsorterat material
38.215,Återvinning av farligt avfall
38.220,Energiåtervinning
38.230,Annan återvinning av avfall
38.310,Förbränning utan energiåtervinning
38.321,Deponering eller slutförvaring av icke-farligt avfall
38.322,Deponering eller slutförvaring av farligt avfall
38.330,Annat bortskaffande av avfall
39.000,Sanering; efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning
41.000,Byggande av bostadshus och andra byggnader
42.110,Anläggning av vägar och motorvägar
42.120,Anläggning av järnvägar och tunnelbanor
42.130,Anläggning av broar och tunnlar
42.210,Allmännyttiga anläggningsarbeten för värme vatten och avlopp
42.221,Anläggningsarbeten för el
42.222,Anläggningsarbeten för telekommunikation
42.910,Vattenbyggnad
42.990,Diverse övriga anläggningsarbeten
43.110,Rivning av hus och byggnader
43.120,Mark- och grundarbeten
43.130,Markundersökning
43.210,Elinstallationer
43.221,Värme- och sanitetsarbeten
43.222,Ventilationsarbeten
43.223,Kyl- och frysinstallationsarbeten
43.229,Övriga VVS-arbeten
43.230,Installation av isolering
43.240,Andra bygginstallationer
43.310,Puts- fasad- och stuckatörsarbeten
43.320,Byggnadssnickeriarbeten
43.330,Golv- och väggbeläggningsarbeten
43.341,Måleriarbeten
43.342,Glasmästeriarbeten
43.350,Annan slutbehandling av byggnader
43.411,Takarbeten av plåt
43.412,Takarbeten av andra material än plåt
43.420,Annan specialiserad bygg- och anläggningsverksamhet i samband med byggande av hus
43.500,Specialiserad bygg- och anläggningsverksamhet i samband med anläggningsarbeten
43.600,Förmedling avseende specialiserad bygg- och anläggningsverksamhet
43.910,Murarbeten
43.991,Uthyrning av bygg- och anläggningsmaskiner med förare
43.999,Annan övrig specialiserad bygg- och anläggningsverksamhet
46.110,Provisionshandel med jordbruksråvaror levande djur textilråvaror och textilhalvfabrikat
46.120,Provisionshandel med bränsle malm metaller och industrikemikalier
46.130,Provisionshandel med virke och byggmaterial
46.141,Provisionshandel med maskiner industriell utrustning fartyg och luftfartyg utom kontorsutrustning och datorer
46.142,Provisionshandel med kontorsutrustning och datorer
46.150,Provisionshandel med möbler hushålls- och järnhandelsvaror
46.160,Provisionshandel med textilier kläder pälsvaror skodon och lädervaror
46.170,Provisionshandel med livsmedel drycker och tobak
46.181,Provisionshandel med motorfordon och reservdelar och tillbehör till motorfordon
46.189,Provisionshandel med annat specialsortiment utom motorfordon
46.190,Icke-specialiserad provisionshandel
46.210,Partihandel med spannmål råtobak utsäde och djurfoder
46.220,Partihandel med blommor och växter
46.230,Partihandel med levande djur
46.240,Partihandel med hudar skinn och läder
46.310,Partihandel med frukt och grönsaker
46.321,Partihandel med kött och köttvaror
46.322,Partihandel med fisk- och fiskprodukter
46.330,Partihandel med mejeriprodukter ägg matolja och matfett
46.340,Partihandel med drycker
46.350,Partihandel med tobak
46.360,Partihandel med socker choklad och sockerkonfektyrer
46.370,Partihandel med kaffe te kakao och kryddor
46.380,Partihandel med andra livsmedel
46.390,Icke specialiserad partihandel med livsmedel drycker och tobak
46.410,Partihandel med textilier
46.420,Partihandel med kläder och skodon
46.431,Partihandel med elektriska hushållsmaskiner och -apparater
46.432,Partihandel med ljud- och bildanläggningar samt videoutrustning
46.433,Partihandel med elartiklar
46.434,Partihandel med fotografiska och optiska produkter
46.440,Partihandel med glas och porslin samt rengöringsmedel
46.450,Partihandel med parfym och kosmetika
46.460,Partihandel med medicinsk utrustning och apoteksvaror
46.471,Partihandel med möbler mattor och belysningsartiklar
46.472,Partihandel med kontorsmöbler
46.480,Partihandel med ur och guldsmedsvaror
46.491,Partihandel med sport- och fritidsartiklar
46.492,Partihandel med kontorsförbrukningsvaror
46.499,Partihandel med övriga hushållsvaror
46.501,Partihandel med datorer och kringutrustning samt programvara; samt annan kontorsutrustning
46.502,Partihandel med elektronikkomponenter
46.503,Partihandel med telekommunikationsutrustning
46.610,Partihandel med jordbruksmaskiner och -utrustning
46.620,Partihandel med verktygsmaskiner
46.630,Partihandel med gruv- bygg- och anläggningsmaskiner
46.641,Partihandel med mät- och precisionsinstrument
46.642,Partihandel med datoriserad materialhanteringsutrustning
46.649,Partihandel med diverse andra maskiner och diverse annan utrustning
46.711,Partihandel med personbilar och lätta motorfordon
46.712,Partihandel med lastbilar bussar och specialfordon
46.713,Partihandel med husvagnar husbilar släpfordon och påhängsvagnar
46.720,Partihandel med reservdelar och tillbehör till motorfordon utom motorcyklar
46.730,Partihandel med motorcyklar inklusive reservdelar och tillbehör
46.810,Partihandel med bränslen
46.820,Partihandel med metaller och metallmalmer
46.831,Partihandel med virke och andra byggmaterial
46.832,Partihandel med sanitetsgods
46.841,Partihandel med järnhandelsvaror
46.842,Partihandel med VVS-varor
46.850,Partihandel med kemiska produkter
46.860,Partihandel med andra insatsvaror
46.871,Partihandel med uttjänta fordon
46.872,Partihandel med metallavfall och metallskrot
46.873,Partihandel med avfall och skrot av icke-metall
46.890,Diverse övrig specialiserad partihandel
46.900,Icke-specialiserad partihandel
47.111,Varuhus- och stormarknadshandel mest livsmedel drycker och tobak
47.112,Livsmedelshandel med brett sortiment ej varuhus eller stormarknad
47.113,Detaljhandel via internet eller postorder med brett sortiment mest livsmedel drycker och tobak
47.121,Annan varuhus- eller stormarknadshandel
47.122,Övrig detaljhandel med brett sortiment
47.123,Detaljhandel via internet eller postorder med brett sortiment
47.210,Detaljhandel med frukt och grönsaker
47.220,Detaljhandel med kött och charkuterier
47.230,Detaljhandel med fisk skal- och blötdjur
47.241,Detaljhandel med bröd och konditorivaror
47.242,Detaljhandel med konfektyrer
47.250,Detaljhandel med drycker
47.260,Detaljhandel med tobaksvaror
47.271,Detaljhandel med hälsokost
47.272,Detaljhandel med andra livsmedel utom hälsokost
47.300,Detaljhandel med drivmedel
47.401,Detaljhandel med datorer programvara data- och tv-spel
47.402,Detaljhandel med telekommunikationsutrustning
47.403,Detaljhandel med ljud- och bildanläggningar samt videoutrustning
47.404,Detaljhandel via internet eller postorder med informations- och kommunikationsutrustning
47.510,Detaljhandel med textilier
47.521,Detaljhandel med virke och byggvaror
